,tweet,username,Clean Tweets
81,"Hi late nighters, some classmates have started a petition for our faculty to have a formal enquiry towards a staff… https://t.co/s70M7d0ikl",leishaaa321,Hi late nighters some classmates have started a petition for our faculty to have a formal enquiry towards a staff… httpstcosMdikl
82,"It has signed up for a day trip to the strip nets of the trip, including the University of Sydney, Alexandria, Bond… https://t.co/ZQAATptKDh",oweek2020,It has signed up for a day trip to the strip nets of the trip including the University of Sydney Alexandria Bond… httpstcoZQAATptKDh
83,The University of Sydney is the oldest university in Australia. It is one of the premier academic halls in the Sout… https://t.co/oNNbdqbL7r,oweek2020,The University of Sydney is the oldest university in Australia It is one of the premier academic halls in the Sout… httpstcooNNbdqbLr
84,The University of Sydney is Australia's largest university and one of the most popular universities for overseas st… https://t.co/TLOVu7Qxh2,oweek2020,The University of Sydney is Australias largest university and one of the most popular universities for overseas st… httpstcoTLOVuQxh
85,There is an open book in the middle of the cross that symbolizes Oxford University. The University of Sydney was fo… https://t.co/f6BAKzJiIy,oweek2020,There is an open book in the middle of the cross that symbolizes Oxford University The University of Sydney was fo… httpstcofBAKzJiIy
86,"The story of the Sydney University emblem
 The top lion of the University of Sydney's school emblem is the Lion Pas… https://t.co/lBMO36iiH4",oweek2020,"The story of the Sydney University emblem
 The top lion of the University of Sydneys school emblem is the Lion Pas… httpstcolBMOiiH"
87,The University of Sydney badge was awarded in 1857 by the British Coat of Arms. The upper part of LionPassantGuarda… https://t.co/NG7Smf77PO,oweek2020,The University of Sydney badge was awarded in  by the British Coat of Arms The upper part of LionPassantGuarda… httpstcoNGSmfPO
88,"World scientists declare climate emergency

To quote a Facebook friend of mine: Yawn.

More than 11,000 scientists… https://t.co/CnVnWeSPfv",IowaClimate,"World scientists declare climate emergency

To quote a Facebook friend of mine Yawn

More than  scientists… httpstcoCnVnWeSPfv"
89,"The declaration has been signed by scientists from the University of Sydney, Australia, Oregon State University and… https://t.co/QiwPuH91ud",the_ecologist,The declaration has been signed by scientists from the University of Sydney Australia Oregon State University and… httpstcoQiwPuHud
90,"""“A broader set of indicators should be monitored, including human population growth, meat consumption, tree-cover… https://t.co/lDlnMPuhX7",ProjectsHogan,“A broader set of indicators should be monitored including human population growth meat consumption treecover… httpstcolDlnMPuhX
91,"Over 11,000 scientists declare climate emergency and call for urgent action

More than 11,000 scientists around the… https://t.co/Fwi1W8NqBi",TheLeftWingUK,"Over  scientists declare climate emergency and call for urgent action

More than  scientists around the… httpstcoFwiWNqBi"
92,"&gt;11,000 scientists call on global leaders to take action in the midst of a #ClimateEmergency They say a warmer plan… https://t.co/KI8YTyeKur",rosemaryCNN,gt scientists call on global leaders to take action in the midst of a ClimateEmergency They say a warmer plan… httpstcoKIYTyeKur
93,Love this choose your own internship adventure from UTS Careers! University of Technology Sydney Biomed Sci &amp; Biote… https://t.co/h4RG2Dzdhx,DrSachaSB,Love this choose your own internship adventure from UTS Careers University of Technology Sydney Biomed Sci amp Biote… httpstcohRGDzdhx
94,"@CloverMoore Amen to that ! and I would add after""public transport needs"" : ""including the public transport needs o… https://t.co/fNnkYCwMal",geoffreybw1,CloverMoore Amen to that  and I would add afterpublic transport needs  including the public transport needs o… httpstcofNnkYCwMal
95,A huge congratulations to Androvian Clare Wheeler! She has been named co-captain of the Newcastle Jets for the upco… https://t.co/jTWHSvPooK,StAndrewsColle1,A huge congratulations to Androvian Clare Wheeler She has been named cocaptain of the Newcastle Jets for the upco… httpstcojTWHSvPooK
96,Despite heavy investment in start-ups the University of Sydney Business School has found the uptake of tech is lack… https://t.co/zjCtuAACsy,AIHealth1,Despite heavy investment in startups the University of Sydney Business School has found the uptake of tech is lack… httpstcozjCtuAACsy
97,29 January 1908 - STUDY OF ASTRONOMY. PROFESSOR BRAGG ON ITS VALUE. SUGGESTED CHAIR AT ADELAIDE UNIVERSITY. - The D… https://t.co/vZC7ETEEA9,astrove_bot, January   STUDY OF ASTRONOMY PROFESSOR BRAGG ON ITS VALUE SUGGESTED CHAIR AT ADELAIDE UNIVERSITY  The D… httpstcovZCETEEA
98,The University of Technology Sydney @UTSEngage has just announced the undergraduate Academic Excellence… https://t.co/dYghWvGQSb,AustradeCE,The University of Technology Sydney UTSEngage has just announced the undergraduate Academic Excellence… httpstcodYghWvGQSb
99,"We, the students of Sydney Medical Program, write to express our disappointment upon reading the recent article cal… https://t.co/1UbJySgGe1",DrSuz89,We the students of Sydney Medical Program write to express our disappointment upon reading the recent article cal… httpstcoUbJySgGe
